run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
39,8095.44,0.0,0.0,0.989,0.695,3.951,4.767,1390.48,32378.78,31.33,32347.45,0.986,0.695,3.935,4.767,1265.27,40474.22,31.33,32347.45,0.0,0.695,3.935,4.767,2655.76
40,8059.47,0.0,0.0,0.991,0.719,3.951,4.767,1384.31,32235.16,30.66,32204.49,0.991,0.719,3.951,4.799,1259.6,40294.63,30.66,32204.49,0.0,0.719,3.951,4.767,2643.9
41,8107.01,0.0,0.0,0.986,0.703,3.935,5.151,1392.47,32425.31,30.73,32394.58,0.985,0.703,3.935,5.055,1267.01,40532.32,30.73,32394.58,0.0,0.703,3.935,5.087,2659.49
42,8656.43,0.0,0.0,0.923,0.687,3.839,4.767,1486.85,34623.37,32.16,34591.21,0.922,0.687,3.855,4.831,1352.81,43279.79,32.16,34591.21,0.0,0.687,3.855,4.831,2839.66
43,8445.89,0.0,0.0,0.945,0.695,3.903,4.831,1450.68,33781.05,32.0,33749.06,0.946,0.695,3.903,4.863,1319.99,42226.94,32.0,33749.06,0.0,0.695,3.903,4.863,2770.68
44,7723.71,0.0,0.0,1.036,0.719,4.015,5.471,1326.63,30892.1,30.06,30862.04,1.033,0.719,4.015,5.439,1207.19,38615.81,30.06,30862.04,1.0,0.719,4.015,5.471,2533.82
45,8046.21,0.0,0.0,0.992,0.711,3.967,4.831,1382.03,32181.94,30.66,32151.28,0.993,0.711,3.967,4.799,1257.52,40228.15,30.66,32151.28,0.0,0.711,3.967,4.799,2639.55
46,7636.74,0.0,0.0,1.012,0.719,3.983,4.863,1311.69,30545.07,29.68,30515.4,1.012,0.719,3.983,4.863,1193.62,38181.82,29.68,30515.4,1.0,0.719,3.983,4.863,2505.31
47,8392.32,0.0,0.0,0.983,0.711,3.951,5.055,1441.48,33566.59,31.96,33534.63,0.985,0.703,3.951,5.151,1311.63,41958.92,31.96,33534.63,0.0,0.711,3.951,5.151,2753.11
48,8180.14,0.0,0.0,0.979,0.703,3.951,5.279,1405.04,32717.66,31.46,32686.19,0.976,0.703,3.951,5.183,1278.5,40897.8,31.46,32686.19,0.0,0.703,3.951,5.215,2683.54
49,8083.8,0.0,0.0,0.992,0.711,3.951,4.927,1388.49,32332.48,30.73,32301.75,0.987,0.703,3.935,4.895,1263.4,40416.28,30.73,32301.75,0.0,0.703,3.951,4.895,2651.88
50,8109.24,0.0,0.0,0.987,0.703,3.935,4.959,1392.86,32434.28,30.76,32403.51,0.984,0.703,3.935,4.927,1267.37,40543.51,30.76,32403.51,0.0,0.703,3.935,4.927,2660.22
