run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
39,11054.61,0.0,0.0,0.723,0.687,1.271,1.855,1898.76,44215.51,40.96,44174.55,0.722,0.687,1.271,1.879,1727.6,55270.13,40.96,44174.55,0.0,0.687,1.271,1.871,3626.36
40,10673.18,0.0,0.0,0.749,0.711,1.319,1.927,1833.24,42689.66,38.7,42650.96,0.748,0.711,1.311,1.927,1667.88,53362.84,38.7,42650.96,0.0,0.711,1.311,1.927,3501.11
41,10798.65,0.0,0.0,0.74,0.703,1.319,1.935,1854.79,43191.71,39.56,43152.15,0.739,0.695,1.311,1.959,1687.54,53990.36,39.56,43152.15,0.0,0.703,1.319,1.951,3542.33
42,11044.32,0.0,0.0,0.724,0.695,1.279,1.895,1896.99,44174.78,41.03,44133.75,0.723,0.687,1.279,1.887,1726.02,55219.1,41.03,44133.75,0.0,0.687,1.279,1.887,3623.01
43,10975.05,0.0,0.0,0.728,0.695,1.287,1.855,1885.09,43897.28,40.43,43856.85,0.727,0.695,1.287,1.871,1715.14,54872.33,40.43,43856.85,0.0,0.695,1.287,1.871,3600.23
44,11053.55,0.0,0.0,0.723,0.687,1.279,1.863,1898.57,44211.24,40.96,44170.28,0.722,0.687,1.279,1.895,1727.43,55264.79,40.96,44170.28,0.0,0.687,1.279,1.887,3626.01
45,11005.37,0.0,0.0,0.727,0.695,1.279,1.839,1890.3,44018.94,40.76,43978.18,0.725,0.695,1.279,1.847,1719.92,55024.31,40.76,43978.18,0.0,0.695,1.279,1.847,3610.22
46,10923.48,0.0,0.0,0.732,0.703,1.311,1.967,1876.23,43691.53,40.23,43651.3,0.731,0.695,1.311,1.919,1707.1,54615.01,40.23,43651.3,0.0,0.695,1.311,1.919,3583.33
47,10842.68,0.0,0.0,0.737,0.695,1.311,1.951,1862.35,43368.56,39.83,43328.73,0.736,0.695,1.319,1.975,1694.46,54211.24,39.83,43328.73,0.0,0.695,1.319,1.975,3556.81
48,10729.22,0.0,0.0,0.748,0.711,1.303,1.879,1842.86,42914.13,39.1,42875.03,0.743,0.703,1.295,1.903,1676.67,53643.35,39.1,42875.03,0.0,0.711,1.295,1.895,3519.53
49,10869.37,0.0,0.0,0.735,0.703,1.303,1.911,1866.94,43474.93,39.76,43435.17,0.734,0.703,1.295,1.887,1698.6,54344.3,39.76,43435.17,0.0,0.703,1.295,1.887,3565.54
50,10730.04,0.0,0.0,0.745,0.711,1.319,1.999,1843.0,42917.05,38.83,42878.22,0.744,0.711,1.319,2.015,1676.75,53647.09,38.83,42878.22,0.0,0.711,1.319,2.015,3519.75
