run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
39,8158.62,0.0,0.0,0.979,0.703,3.967,5.535,1401.34,32631.7,23.26,32608.43,0.979,0.695,3.951,5.599,1274.1,40790.32,23.26,32608.43,0.0,0.695,3.967,5.567,2675.44
40,8071.98,0.0,0.0,0.99,0.711,3.983,4.799,1386.46,32285.36,22.67,32262.69,0.989,0.711,3.983,4.831,1260.53,40357.34,22.67,32262.69,0.0,0.711,3.983,4.831,2646.98
41,8195.63,0.0,0.0,0.975,0.719,3.967,4.927,1407.7,32779.79,23.47,32756.33,0.974,0.719,3.967,4.959,1279.9,40975.42,23.47,32756.33,0.0,0.719,3.967,4.959,2687.59
42,7836.41,0.0,0.0,1.022,0.727,4.031,4.959,1345.99,31342.46,22.67,31319.8,1.018,0.727,4.031,4.927,1223.78,39178.87,22.67,31319.8,1.0,0.727,4.031,4.927,2569.77
43,8233.24,0.0,0.0,0.972,0.703,3.951,5.119,1414.16,32930.38,23.76,32906.61,0.97,0.695,3.951,5.151,1285.8,41163.61,23.76,32906.61,0.0,0.695,3.951,5.151,2699.96
44,7942.37,0.0,0.0,1.008,0.719,3.999,4.863,1364.19,31766.72,22.67,31744.06,1.005,0.719,3.999,4.831,1240.31,39709.1,22.67,31744.06,1.0,0.719,3.999,4.831,2604.5
45,8188.25,0.0,0.0,0.977,0.703,3.951,4.703,1406.43,32750.37,23.43,32726.94,0.975,0.703,3.951,4.703,1278.75,40938.62,23.43,32726.94,0.0,0.703,3.951,4.703,2685.18
46,8163.76,0.0,0.0,0.98,0.711,3.983,5.119,1402.22,32652.42,23.17,32629.26,0.978,0.711,3.983,5.119,1274.89,40816.18,23.17,32629.26,0.0,0.711,3.983,5.119,2677.12
47,7962.03,0.0,0.0,1.006,0.727,3.999,5.087,1367.57,31845.25,22.67,31822.59,1.002,0.719,3.983,4.959,1243.37,39807.28,22.67,31822.59,1.0,0.719,3.999,4.991,2610.94
48,8408.15,0.0,0.0,0.951,0.695,3.903,4.895,1444.2,33629.98,24.0,33605.98,0.95,0.687,3.903,4.895,1313.09,42038.13,24.0,33605.98,0.0,0.687,3.903,4.895,2757.29
49,8279.59,0.0,0.0,0.964,0.711,3.935,4.863,1422.12,33115.25,23.8,33091.45,0.965,0.711,3.935,4.799,1293.01,41394.84,23.8,33091.45,0.0,0.711,3.935,4.831,2715.13
50,8150.85,0.0,0.0,0.978,0.719,3.967,4.895,1400.0,32600.92,23.17,32577.75,0.98,0.719,3.967,4.927,1272.89,40751.76,23.17,32577.75,0.0,0.719,3.967,4.927,2672.89
